291,343
292,364
295,386
299,408
305,429
317,447
334,462
354,472
376,476
398,474
418,464
434,449
445,431
452,410
456,389
459,367
459,345
307,321
317,313
331,310
345,312
358,319
394,317
408,312
422,311
434,315
443,325
375,339
375,355
375,371
375,387
361,395
368,399
376,402
383,399
390,396
323,340
332,332
345,334
354,344
343,347
331,347
396,346
406,336
419,335
428,344
421,350
408,350
343,418
357,415
368,414
376,415
384,414
395,416
409,421
396,426
385,427
376,427
368,426
357,424
348,419
368,420
376,421
384,420
404,420
385,419
376,419
368,419
