573,257
577,283
583,309
590,334
602,356
622,374
649,384
677,392
703,395
727,390
749,378
769,364
781,343
786,317
788,291
789,264
788,239
598,225
611,212
630,205
650,205
668,213
704,212
720,203
739,202
757,206
770,217
690,230
693,244
695,257
698,271
678,290
688,292
698,293
707,291
715,288
623,241
634,233
648,231
660,239
648,243
635,244
714,237
725,228
738,228
749,235
739,239
726,240
659,330
674,319
688,314
698,316
707,314
721,318
735,327
723,335
710,339
700,340
690,339
675,336
665,329
689,324
698,324
708,323
728,327
709,327
699,328
689,327
