834,264
834,299
836,335
842,371
859,402
886,426
919,444
954,458
990,462
1024,455
1051,436
1072,411
1086,382
1093,348
1096,314
1096,281
1092,249
880,195
898,179
920,172
945,175
967,184
1008,185
1027,177
1047,174
1066,180
1077,196
991,219
994,232
998,246
1001,261
971,293
984,295
997,297
1008,295
1018,294
908,236
924,232
939,230
953,233
939,238
924,238
1017,233
1031,231
1045,232
1056,237
1044,239
1031,238
930,361
953,336
980,325
995,327
1009,324
1030,335
1041,360
1029,384
1010,394
994,396
978,395
952,385
940,360
981,342
995,342
1009,342
1030,359
1008,374
994,376
978,376
