865,270
868,306
873,342
883,376
902,404
932,423
968,437
1006,447
1043,450
1073,444
1094,426
1109,402
1117,373
1120,342
1123,311
1123,280
1117,250
920,207
938,189
962,182
987,184
1009,192
1050,195
1067,187
1085,185
1102,190
1111,204
1036,222
1041,236
1046,250
1052,265
1021,296
1034,299
1046,300
1055,299
1063,296
947,234
964,224
982,223
995,234
981,238
964,238
1056,235
1071,226
1086,226
1096,237
1086,240
1071,239
993,359
1016,336
1038,324
1049,326
1060,323
1074,335
1081,358
1074,370
1061,376
1049,378
1037,377
1016,372
1003,357
1037,344
1048,343
1059,343
1072,355
1060,354
1049,355
1037,355
