228,159
229,177
231,195
234,213
239,231
246,247
259,259
275,267
294,270
313,266
331,258
344,245
352,229
357,210
359,192
361,173
361,153
236,139
243,133
254,131
264,133
275,136
305,134
317,129
329,127
341,128
350,135
292,149
292,163
292,177
293,191
281,198
286,201
293,203
300,201
306,198
249,155
257,151
265,150
273,155
265,157
256,157
312,154
320,148
329,148
337,152
330,155
321,155
268,220
277,217
286,216
292,218
299,216
307,218
318,220
307,228
299,231
292,232
285,231
277,228
272,221
286,221
292,222
299,221
313,220
298,222
292,223
285,222
